uid,hand,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,gesture
e589290f-d4e8-11ec-832d-80f6f42691e6,RIGHT,0.2856195,0.8800141,1.30E-07,0.3263083,0.8591218,-0.019630646,0.35144538,0.80822587,-0.029910684,0.3506889,0.75703466,-0.038168672,0.33735788,0.72102463,-0.046211284,0.34214675,0.7310198,-0.02761719,0.34573695,0.6468011,-0.04513743,0.34733877,0.59382576,-0.05458479,0.349441,0.55321085,-0.0606349,0.30665606,0.72456807,-0.025801761,0.30405894,0.6785639,-0.04981702,0.30735767,0.71554977,-0.053700227,0.3118215,0.74636286,-0.051405933,0.27372083,0.7322153,-0.025208106,0.27228162,0.70226,-0.04534343,0.2771585,0.736528,-0.036616493,0.28141236,0.7614542,-0.026652558,0.24334395,0.74894285,-0.026417395,0.24555849,0.72631913,-0.039253216,0.25290024,0.75555944,-0.03129612,0.25714213,0.7770515,-0.022011138,0
e5accb1a-d4e8-11ec-aca9-80f6f42691e6,RIGHT,0.28994396,0.8340485,1.05E-07,0.33161592,0.78401333,-0.006251206,0.35069397,0.7154005,-0.010247698,0.35764104,0.65272236,-0.016232539,0.37004736,0.60861385,-0.02279207,0.3333892,0.64138514,-0.006286191,0.33999753,0.5884708,-0.02189084,0.34266952,0.5437473,-0.03293101,0.34496865,0.5039083,-0.04070297,0.29936033,0.63157105,-0.010238937,0.3153885,0.63781327,-0.032971356,0.32111824,0.68954057,-0.037005525,0.32184502,0.7283849,-0.03441086,0.26746154,0.64396524,-0.015556665,0.2880987,0.6719736,-0.03783193,0.29358453,0.7185272,-0.030477462,0.2944386,0.7516717,-0.019633638,0.23722702,0.6695741,-0.022090996,0.25809088,0.6956538,-0.03777338,0.26687017,0.73243827,-0.03348037,0.26822418,0.75486714,-0.025322279,0
e5d0a63e-d4e8-11ec-be55-80f6f42691e6,RIGHT,0.28510767,0.7636204,1.40E-07,0.331627,0.7053473,-0.006322675,0.3571003,0.63279086,-0.009236989,0.35570413,0.5684202,-0.015778221,0.3313033,0.5269035,-0.021944735,0.34234256,0.5743639,0.015575951,0.3547312,0.5188375,0.006466442,0.36258638,0.47957593,0.00186543,0.36374846,0.44285607,-0.001840764,0.3115913,0.57261264,0.009806562,0.33064598,0.5292229,-0.005515045,0.3339654,0.5861892,-0.005475028,0.32495758,0.59794235,0.000579298,0.2839059,0.5793848,0.000808105,0.30642694,0.54997015,-0.022592409,0.31307286,0.60315675,-0.014274037,0.3019096,0.6112499,-0.001895361,0.25447863,0.59396684,-0.008651261,0.28139877,0.57358956,-0.022981623,0.29006246,0.6099134,-0.013411272,0.27921313,0.61936164,-0.00259185,0
e5f45b42-d4e8-11ec-a0f0-80f6f42691e6,RIGHT,0.29241788,0.7159202,1.01E-07,0.33361223,0.6751889,-0.01679753,0.35512,0.6004408,-0.021464162,0.35023078,0.53812194,-0.026148861,0.32559043,0.49793214,-0.029593157,0.34474543,0.5278919,-0.002610662,0.35842705,0.46139878,-0.016278673,0.3652084,0.4150592,-0.023411935,0.36595356,0.37188703,-0.028839817,0.31237337,0.5299736,-0.004609362,0.32877514,0.48881277,-0.02518221,0.33364516,0.55198044,-0.026816498,0.32619548,0.57142276,-0.021383014,0.28421432,0.5437106,-0.009806949,0.3010347,0.51463825,-0.037236396,0.3111136,0.5763023,-0.029059455,0.30277076,0.5885467,-0.015821414,0.2558978,0.56719685,-0.016241945,0.27637637,0.5417425,-0.034434807,0.28798902,0.58131635,-0.024634063,0.27923307,0.59539104,-0.012667142,0
e618105e-d4e8-11ec-bd18-80f6f42691e6,RIGHT,0.29837975,0.66521305,9.39E-08,0.34018338,0.6191646,-0.01465005,0.35875627,0.54752177,-0.017410344,0.3533507,0.48656493,-0.020710541,0.33312908,0.44461226,-0.02320647,0.35304204,0.47742984,0.002226817,0.36728218,0.4100755,-0.009595939,0.37402362,0.36409992,-0.014883931,0.37448663,0.3238004,-0.018541818,0.32082096,0.48196444,-0.000455811,0.3312815,0.42870176,-0.019899022,0.3377351,0.49153125,-0.02006889,0.3341351,0.51741344,-0.012406199,0.29145515,0.4974765,-0.006456016,0.30439875,0.46370846,-0.033607293,0.3157082,0.52617407,-0.02477461,0.3094035,0.5425518,-0.010043785,0.2619755,0.5216269,-0.013482911,0.27851292,0.49159884,-0.031036368,0.29048836,0.53247666,-0.020464927,0.28276795,0.54810435,-0.007549065,0
e63bdae4-d4e8-11ec-a62f-80f6f42691e6,RIGHT,0.33088148,0.6208189,3.91E-08,0.37367898,0.5756504,-0.009590043,0.3964396,0.4906906,-0.008496541,0.3957181,0.42307407,-0.008797551,0.36906505,0.38265958,-0.008473067,0.38435757,0.4253892,0.007984822,0.39598376,0.36030704,-0.003351759,0.4039464,0.3155473,-0.009046938,0.40459487,0.27306512,-0.013880094,0.3519432,0.42687294,0.002332178,0.36585888,0.37311688,-0.015315433,0.3750619,0.44031784,-0.0154835,0.36860985,0.46071008,-0.009255213,0.3209713,0.4409289,-0.00646853,0.3373453,0.4048848,-0.034041226,0.35008553,0.47172758,-0.025233187,0.33962914,0.48480657,-0.011483837,0.28822264,0.4656043,-0.015863873,0.3111357,0.43571982,-0.034374066,0.32438698,0.47887218,-0.02389359,0.31169423,0.49349207,-0.011922468,0
e65fbb09-d4e8-11ec-a2e8-80f6f42691e6,RIGHT,0.41014588,0.6027091,1.81E-08,0.45284402,0.5577387,-0.007273063,0.47013858,0.4749716,-0.009974286,0.46527797,0.41359186,-0.016281467,0.44218987,0.3746963,-0.022212198,0.4466531,0.40771645,0.004535267,0.46762216,0.3393834,-0.0112547,0.48154974,0.29611498,-0.020106545,0.48483658,0.25615817,-0.026742196,0.4167161,0.4119141,-0.003782453,0.45258296,0.37202644,-0.030611977,0.46055776,0.43403736,-0.035430312,0.44584924,0.459081,-0.031692076,0.3895946,0.42337602,-0.014987153,0.4295299,0.39198357,-0.047634356,0.43840122,0.45655733,-0.039371658,0.42236996,0.47596973,-0.025444165,0.3631318,0.443029,-0.026638402,0.40683383,0.41871953,-0.04793223,0.41679668,0.46456182,-0.03820927,0.40120164,0.48138562,-0.026460072,0
e6838d72-d4e8-11ec-91d6-80f6f42691e6,RIGHT,0.4915391,0.60375476,-6.50E-08,0.53274846,0.54793155,-0.004106516,0.55141616,0.47850406,-0.00703536,0.5555361,0.4220837,-0.014843199,0.5421738,0.37830126,-0.02138858,0.5215889,0.40708283,0.008709743,0.54581964,0.33697835,-0.00825934,0.55636275,0.2999617,-0.016206797,0.55587775,0.26234186,-0.021597251,0.49701634,0.4083349,-0.001647962,0.5391455,0.3759842,-0.027669156,0.54987204,0.43329737,-0.032320026,0.53818226,0.446272,-0.028747622,0.47518548,0.41755992,-0.014980114,0.52318686,0.3973068,-0.045527577,0.53218776,0.45450506,-0.037839282,0.5153682,0.4657633,-0.024995586,0.45366618,0.43798178,-0.02896243,0.5001849,0.42340213,-0.04830648,0.51182467,0.46303686,-0.039113708,0.49563906,0.47598344,-0.027563494,0
e6a7430a-d4e8-11ec-ae15-80f6f42691e6,RIGHT,0.47800097,0.5909257,3.39E-08,0.52359164,0.5542046,-0.015458424,0.5475127,0.48616982,-0.024500998,0.548987,0.42821577,-0.034911677,0.5306161,0.38549766,-0.04428438,0.51830155,0.4092291,-0.011314152,0.5330064,0.33627412,-0.029373758,0.5427856,0.29342517,-0.03803351,0.5452356,0.2533201,-0.04445616,0.4884272,0.41289207,-0.016120091,0.5196726,0.38470876,-0.043488875,0.52743095,0.4418813,-0.04581795,0.5150865,0.45638293,-0.041998036,0.46252775,0.4256723,-0.023848753,0.49790075,0.40701288,-0.056236275,0.5048568,0.4649207,-0.046976514,0.48890522,0.47500697,-0.034311645,0.43780208,0.44602534,-0.032818705,0.47464186,0.43412864,-0.05546981,0.48376808,0.47528198,-0.04753104,0.469305,0.4856289,-0.03744572,0
e6cae882-d4e8-11ec-b5f4-80f6f42691e6,RIGHT,0.39961722,0.5952634,2.49E-08,0.44740757,0.5615889,-0.015202208,0.47148696,0.4866304,-0.018976513,0.46372405,0.42686594,-0.023457207,0.43889293,0.38939777,-0.02797264,0.44696286,0.41079664,-0.00360127,0.4543217,0.34267405,-0.018040197,0.46324113,0.29978603,-0.027271139,0.4680823,0.25924778,-0.03473143,0.41467306,0.41456777,-0.00780546,0.4321653,0.371258,-0.03268909,0.43678725,0.42779016,-0.03922062,0.42577088,0.45262933,-0.038025737,0.38595378,0.43081683,-0.014918631,0.40641442,0.40171987,-0.043042243,0.41303244,0.45642298,-0.037808225,0.40053314,0.47236496,-0.028204493,0.3574527,0.4548048,-0.023313832,0.38095164,0.432406,-0.041339822,0.38978213,0.47137883,-0.034198146,0.37928906,0.48538756,-0.025856527,0
