uid,hand,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,gesture
aa526eaa-d4ed-11ec-9475-80f6f42691e6,RIGHT,0.22956118,0.8406119,8.36E-07,0.27838558,0.81800103,-0.039555207,0.3077309,0.7449943,-0.05779212,0.2886354,0.68525505,-0.07449636,0.2566574,0.6439633,-0.08803909,0.3070307,0.60673773,-0.030169148,0.343995,0.50436294,-0.06192746,0.36735755,0.44042665,-0.08123829,0.38437405,0.38701367,-0.09193009,0.25624248,0.5935855,-0.033534065,0.24761316,0.4571663,-0.06952529,0.2493271,0.38001162,-0.088442005,0.25040233,0.3130295,-0.09445464,0.21024197,0.61717945,-0.041604973,0.21043094,0.5602886,-0.09447593,0.22584322,0.635682,-0.098882176,0.23299308,0.68631697,-0.08522622,0.17153268,0.66267264,-0.052748255,0.18034038,0.6479182,-0.096922286,0.19560114,0.7014049,-0.096118055,0.2030144,0.7336715,-0.08354931,1
aa7548aa-d4ed-11ec-b96c-80f6f42691e6,RIGHT,0.22827284,0.8120551,7.02E-07,0.2827725,0.7737719,-0.029352907,0.31218833,0.69323975,-0.041406002,0.28885466,0.6296035,-0.054253157,0.25800595,0.5864877,-0.0645892,0.31726173,0.56262875,-0.013835389,0.35464358,0.47510165,-0.03968464,0.37731856,0.41877764,-0.057552066,0.39443356,0.36921248,-0.068129264,0.26765767,0.55024886,-0.019075729,0.26720065,0.42994165,-0.047432974,0.2703509,0.3584679,-0.06416312,0.2716086,0.29518935,-0.070754685,0.22244555,0.5739024,-0.028694253,0.22535281,0.52032864,-0.072414964,0.24125916,0.58949775,-0.0776946,0.24640791,0.639392,-0.067541145,0.18511939,0.6210356,-0.040725388,0.19595073,0.603918,-0.07600733,0.21067703,0.65198743,-0.07484083,0.2156902,0.68516964,-0.064317554,1
aa9832d9-d4ed-11ec-ba9d-80f6f42691e6,RIGHT,0.24282362,0.73274326,5.81E-07,0.29874316,0.69721484,-0.02598923,0.33054376,0.6292194,-0.037045974,0.31187886,0.56512874,-0.049482066,0.27847815,0.52441907,-0.060117386,0.33383816,0.5064006,-0.008694463,0.36568588,0.4287794,-0.02679958,0.38411292,0.37946695,-0.04006239,0.39946774,0.33554098,-0.049184453,0.29055843,0.4933156,-0.013841661,0.29245603,0.38270503,-0.03554834,0.29757085,0.32220685,-0.049428683,0.3020141,0.27064553,-0.056606688,0.24964732,0.5112018,-0.023078071,0.2597121,0.4477016,-0.06258513,0.27260202,0.51473284,-0.0693609,0.27532095,0.5637263,-0.062433608,0.21353479,0.54836047,-0.03407393,0.2329941,0.51506287,-0.0676101,0.25018302,0.56105226,-0.06889511,0.2560189,0.59875023,-0.06201576,1
aabb04a3-d4ed-11ec-bc2a-80f6f42691e6,RIGHT,0.24017611,0.7293947,4.02E-07,0.28915474,0.6960292,-0.024648586,0.31500548,0.6287782,-0.034861658,0.29803333,0.5698112,-0.046265647,0.27134946,0.5276772,-0.055378843,0.31560585,0.51987576,-0.010235814,0.34085923,0.44128647,-0.026601978,0.35234198,0.39380836,-0.037871655,0.36367053,0.3513863,-0.045153253,0.2784409,0.51503813,-0.014781304,0.27863842,0.4098514,-0.035886806,0.2843534,0.35020065,-0.049727257,0.29001942,0.3016129,-0.0567072,0.24257159,0.5332446,-0.02297064,0.25996953,0.4823784,-0.05988681,0.2728199,0.5398617,-0.06684703,0.27329114,0.58128357,-0.06059102,0.21089068,0.5642911,-0.032777857,0.23638192,0.53461164,-0.061368432,0.25008655,0.57678604,-0.061172374,0.2503156,0.60943717,-0.05421515,1
aaddf592-d4ed-11ec-ae05-80f6f42691e6,RIGHT,0.22851336,0.71253765,4.89E-07,0.27378726,0.67969465,-0.02382282,0.29700437,0.61960274,-0.034600426,0.27814302,0.56383306,-0.04637349,0.24824162,0.52291954,-0.055980716,0.30413994,0.51635844,-0.01109359,0.33010113,0.44288775,-0.02875483,0.34462172,0.399108,-0.04055656,0.35783735,0.36112595,-0.047891583,0.2681762,0.5082746,-0.015094865,0.26826122,0.41188073,-0.037507374,0.27192822,0.3540393,-0.05214596,0.27634168,0.30714414,-0.059199207,0.23161854,0.5255391,-0.022356983,0.23924336,0.48291403,-0.05780357,0.2513738,0.5364343,-0.06353567,0.25484887,0.57590675,-0.056469664,0.1980159,0.5555643,-0.031214025,0.21251675,0.53137517,-0.058620896,0.22706059,0.5687361,-0.058042616,0.23139963,0.5980338,-0.05041965,1
ab00f4b5-d4ed-11ec-8fd2-80f6f42691e6,RIGHT,0.21496752,0.7275194,5.12E-07,0.25929618,0.69300294,-0.02510688,0.2790231,0.62385213,-0.035681136,0.25880295,0.56537044,-0.046985503,0.225262,0.525263,-0.05647991,0.27694497,0.5135621,-0.011950293,0.30083364,0.44071287,-0.028430676,0.31406707,0.3924602,-0.040909015,0.32389164,0.34942186,-0.04951091,0.2394269,0.5092585,-0.015863834,0.23601037,0.41245845,-0.037471782,0.2387998,0.35327047,-0.05289954,0.2391883,0.30287546,-0.060822815,0.20299579,0.5329094,-0.022658588,0.20802806,0.48291916,-0.0594192,0.22227259,0.5401712,-0.06499711,0.2253511,0.5818183,-0.05739716,0.17019296,0.57088554,-0.031010102,0.18350087,0.53431714,-0.06125261,0.20108797,0.5740635,-0.060308177,0.2078013,0.6086504,-0.05167152,1
ab23d2d4-d4ed-11ec-9c4e-80f6f42691e6,RIGHT,0.21454114,0.7455498,5.03E-07,0.2600538,0.7094076,-0.02694133,0.2763042,0.6378516,-0.039020214,0.25387406,0.5772164,-0.05154953,0.21998848,0.53321666,-0.06183109,0.27366668,0.52733594,-0.015375632,0.29462802,0.44558787,-0.03342248,0.30362403,0.39522052,-0.046295036,0.31041455,0.3490585,-0.055571456,0.23434652,0.5232682,-0.019519737,0.2249275,0.4227817,-0.04395964,0.22399366,0.36250967,-0.060350846,0.22207387,0.30953485,-0.069067664,0.19708912,0.5477736,-0.026633404,0.2006115,0.48775733,-0.067161456,0.21905433,0.546967,-0.07202694,0.22407964,0.59159636,-0.063633345,0.16468039,0.58802843,-0.035344265,0.1799068,0.5470727,-0.07060875,0.1996659,0.5885209,-0.0703207,0.2057218,0.6252749,-0.06148715,1
ab46a25d-d4ed-11ec-a562-80f6f42691e6,RIGHT,0.23196217,0.76598775,5.50E-07,0.28148723,0.73757654,-0.029049857,0.3072366,0.67394346,-0.043170486,0.28935924,0.6164769,-0.057494607,0.25428852,0.5753918,-0.06972056,0.30238956,0.5436478,-0.019465474,0.32626924,0.45922685,-0.0414459,0.33839434,0.40558738,-0.057001323,0.34806776,0.3576447,-0.06762248,0.25958243,0.5338298,-0.023562111,0.2522205,0.42826322,-0.050760295,0.25140333,0.36381257,-0.069089696,0.25054488,0.30809057,-0.07857843,0.21981652,0.5563477,-0.030652413,0.22327727,0.49281636,-0.07298266,0.24183059,0.5512452,-0.07956274,0.25063035,0.5988657,-0.0719433,0.18612334,0.5980398,-0.039624687,0.20171553,0.56996596,-0.07719509,0.2243832,0.61128664,-0.079559684,0.23509185,0.6470925,-0.07184977,1
ab69940f-d4ed-11ec-8492-80f6f42691e6,RIGHT,0.29680178,0.7901391,6.11E-07,0.34639758,0.75670993,-0.020306973,0.37187016,0.68517995,-0.030115545,0.3610742,0.6328153,-0.042628128,0.33270875,0.60187656,-0.053076427,0.36837488,0.55701864,-0.01066972,0.4032993,0.46938425,-0.031371176,0.42243534,0.41364628,-0.04438372,0.43627876,0.36655113,-0.051784176,0.32791686,0.5495535,-0.01922821,0.33439964,0.43389806,-0.04589972,0.33996266,0.3650471,-0.06222608,0.34115565,0.3083506,-0.068676546,0.28772998,0.57177836,-0.030421574,0.30691385,0.5131484,-0.07228594,0.32302618,0.57768697,-0.077720545,0.32516003,0.6272895,-0.067510016,0.2541334,0.61300987,-0.0427014,0.28285155,0.5864703,-0.0749902,0.30409488,0.6315939,-0.0726693,0.30949992,0.6684357,-0.06163492,1
ab8c7210-d4ed-11ec-9cfc-80f6f42691e6,RIGHT,0.3377201,0.77941424,5.56E-07,0.38875374,0.7449292,-0.02086636,0.42086104,0.67104685,-0.031278737,0.41732934,0.6092689,-0.044331957,0.38472855,0.57689214,-0.05526178,0.40754393,0.5452181,-0.01210759,0.43886614,0.46213117,-0.033456158,0.4538774,0.40714505,-0.047680527,0.46348003,0.35677475,-0.058107775,0.36442715,0.5377258,-0.022170896,0.36542827,0.42168564,-0.051908195,0.37114802,0.35393733,-0.069864534,0.37147138,0.29520515,-0.07913173,0.32318345,0.560756,-0.035027996,0.34445763,0.48702478,-0.08008146,0.37128013,0.5513176,-0.085528515,0.37996438,0.6008955,-0.076856606,0.29143718,0.6020572,-0.049302977,0.32727522,0.57238144,-0.086517364,0.35475692,0.6156879,-0.08848168,0.36368665,0.6502166,-0.08160497,1
